a,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10595,"96m2, 3BR, 2BA, Metro, WI-FI etc...",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire home/apt,70,1,32,24-09-2021,0.25,6,114,7,957568
10990,Athens Quality Apartments - Deluxe Apartment,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,50,1,54,01-11-2021,0.48,6,364,10,1070920
10993,Athens Quality Apartments - Studio,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire home/apt,38,1,76,09-12-2021,0.67,6,312,22,957080
10995,"AQA-No2 1-bedroom, smart tv, fiber connection,",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,48,1,27,08-11-2021,0.19,6,236,4,957422
27262,"54m2, 1-br, cable tv, wi-fi, metro",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,52,1,17,08-01-2020,0.15,6,176,0,957579
28186,❤️Deluxe central loft near Acropolis❤️,121318,Francis - Fotios,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97545,23.72892,Entire home/apt,54,2,466,07-11-2021,3.99,2,358,11,264915
31155,sleep on sailing boat,133845,Irene,,ΚΕΡΑΜΕΙΚΟΣ,37.97962,23.71589,Private room,39,1,0,,,1,0,0,
33945,Spacious Cosy aprtm very close to Metro!,146553,Katerina,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00673,23.72775,Entire home/apt,30,5,71,18-08-2019,0.52,2,344,0,
49489,3bdr apt in the heart of Athens,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,120,2,121,07-10-2019,0.96,1,262,0,876484
54637,Penthouse Parthenon view in Athens,256676,Angeliki,,ΠΑΓΚΡΑΤΙ,37.96919,23.74354,Entire home/apt,70,10,3,01-02-2018,0.03,1,363,0,
59663,ATHENS spacious apt Ideal location,286911,Nely,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99018,23.72185,Entire home/apt,55,2,346,11-12-2021,2.58,1,320,15,1354528
60394,Cosy 1 bedroom apt! Great central Athens location!,290864,Mika,,ΣΤΑΔΙΟ,37.96738,23.74038,Entire home/apt,28,6,10,09-11-2021,0.12,1,227,1,
83097,House In Centre,452494,Aris,,ΣΤΑΔΙΟ,37.96519,23.74549,Entire home/apt,45,4,21,25-07-2015,0.17,1,350,0,
85539,The Heart Of Athens,468541,Xanthippi,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99128,23.72965,Entire home/apt,75,4,0,,,1,365,0,
119682,Acropolis apartment  GREAT LOCATION,603724,Manolis,,ΑΚΡΟΠΟΛΗ,37.97267,23.72672,Entire home/apt,65,2,122,04-10-2019,0.96,1,230,0,97493
131133,"Amazing view  2-4/p, Athens center",640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,72,2,32,18-12-2021,0.27,9,365,3,173007
133835,Studio in upscale/central location,656936,Elena,,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire home/apt,45,3,9,30-11-2021,0.07,1,364,3,1227000
133906,Amazing view -2 bedr. sleep 4-7/p,640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00172,23.74866,Entire home/apt,77,2,47,17-11-2021,0.37,9,355,8,172988
138386,"Apartment Dora , Service with style",675611,Yavor,,ΠΑΓΚΡΑΤΙ,37.96783,23.7497,Entire home/apt,58,3,59,20-01-2020,0.47,1,52,0,208960
154243,LUSCIOUS ROOF GARDEN IN THE CENTER!,741851,Yagos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98574,23.73323,Entire home/apt,55,3,179,25-11-2021,1.41,1,359,4,532953
155654,"Acropolis Cosy Apartment, Koukaki",712602,Nikos,,ΑΚΡΟΠΟΛΗ,37.96828,23.72906,Entire home/apt,60,2,31,07-10-2021,0.34,2,352,4,429243
157869,Kallimarmaro 2B/R Apartment,650923,AthensApart,,ΣΤΑΔΙΟ,37.966,23.74443,Entire home/apt,61,1,173,01-10-2021,1.39,8,321,2,1327931
167416,"Apartment in Central Athens, Greece",797823,George,,ΠΑΤΗΣΙΑ,38.00876,23.73967,Entire home/apt,74,14,0,,,1,0,0,
179705,Great Central location - Athens,860485,Theodore & Reshma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97436,23.73366,Entire home/apt,35,2,117,24-10-2021,1,2,323,5,
185936,New apartmenrt in Athens!,885156,E,,ΓΚΑΖΙ,37.97858,23.70967,Private room,30,7,0,,,1,0,0,
196935,Large living space near Syntagma,860485,Theodore & Reshma,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97401,23.73174,Entire home/apt,36,2,51,18-10-2021,0.41,2,323,4,
251361,A relaxing house overlooking Athens,592616,Andreas,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01873,23.74465,Entire home/apt,133,5,1,23-05-2013,0.01,1,365,0,
270611,An Oasis in the Heart of Athens,1416651,Paul,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586,23.72432,Entire home/apt,40,3,42,28-11-2021,0.37,1,362,10,40022
270954,"Apt next to Plaka, roof top with views!",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,82,2,24,17-10-2021,0.21,40,305,5,
270973,Boutique apt. Balconies. Roof top.,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,82,2,13,08-11-2021,0.15,40,315,7,
281158,"Center 1, Metro 30m, Satelite TV",640163,Nikos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99253,23.73115,Entire home/apt,45,2,57,29-02-2020,0.48,9,144,0,251837
306234,Athens AVATON - Parthenon Suite,1574876,Agis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97851,23.72479,Entire home/apt,240,2,481,12-12-2021,4.31,3,290,42,982890
308157,#AH32 GREY STUDIO,1585338,Flavia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311,Entire home/apt,58,4,2,05-04-2016,0.03,15,365,0,1218523
360940,Vintage Design Flat downtown!,1824707,Dimitrios,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.0061,23.73453,Entire home/apt,58,2,21,22-07-2017,0.21,1,365,0,
361393,Hermes Historical Center apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97774,23.73,Entire home/apt,49,2,195,24-02-2019,1.66,5,31,0,EL800835933
401423,Apartment with Leafy Backyard Steps from the Acropolis,745805,Ralou,,ΑΚΡΟΠΟΛΗ,37.96826,23.72777,Entire home/apt,65,2,448,12-12-2021,3.83,1,343,19,492384
408907,Downtown 70m² top floor apartment,2035514,Ranina,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98395,23.72165,Entire home/apt,50,1,169,08-06-2019,1.45,1,0,0,40427
411452,Everyone who stays leaves happy!,944962,Foris,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99338,23.77155,Entire home/apt,32,7,332,03-10-2021,2.86,2,358,7,
441091,Archaeological Museum apartment with balcony,2185512,Jenny,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99383,23.7274,Entire home/apt,60,7,24,29-11-2019,0.21,1,365,0,
448768,"House of Colours, Athens City Centre",2228424,Stefanos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9916,23.72902,Entire home/apt,55,7,68,20-11-2021,0.6,1,78,4,143162
452159,Amazing view - 3 bedr. sleep 6-8/p,640163,Nikos,,ΝΕΑ ΚΥΨΕΛΗ,38.00175,23.7486,Entire home/apt,1807,2,56,03-01-2020,0.54,9,144,0,172910
469140,Our first love #01 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97665,23.7185,Entire home/apt,89,2,60,02-11-2020,0.51,13,301,0,546911
470219,Our Playground #02 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97525,23.71957,Entire home/apt,64,1000,16,12-10-2020,0.15,13,251,0,1176980
474719,Artemis Historical Center cosy apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97952,23.72999,Entire home/apt,50,1,249,13-10-2021,2.21,5,0,2,EL800835933
478626,Studio for 3 in the heart of Athens,2370772,Sofia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97843,23.72564,Entire home/apt,120,1,1,12-06-2015,0.01,9,365,0,0206K24000344201
484852,Cool apartment for urban lovers,408081,Dimitrios,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99534,23.74058,Entire home/apt,23,5,52,28-06-2021,0.45,1,206,1,28740000
484925,IN THE SHADOW OF ACROPOLIS-2 B/R,2371962,Rania,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97291,23.72739,Entire home/apt,125,1,262,28-11-2021,2.26,2,288,29,223898
495212,MODERN APARTMENT NEAR ACROPOLIS,2446066,Yiagos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96716,23.72676,Entire home/apt,75,7,12,14-11-2021,0.19,1,274,2,72610
496416,"Walk to Plaka, terrace,garden, WiFi",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,76,2,8,16-10-2021,0.09,40,305,2,
496503,"2 interconnected apts, walk to all sites!",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,159,2,8,16-09-2017,0.09,40,349,0,
496561,In the shadow of Acropolis,2371962,Rania,,ΑΚΡΟΠΟΛΗ,37.97277,23.72745,Entire home/apt,80,1,17,08-08-2021,0.27,2,362,2,223898
497502,Design studio & lemon tree garden!!,2456294,Athens Green Apartments,,ΣΤΑΔΙΟ,37.96887,23.74274,Entire home/apt,127,1,9,03-10-2017,0.09,7,0,0,376197
498604,"Acropolis, Koukaki apartment",2461282,Marilia,,ΑΚΡΟΠΟΛΗ,37.96341,23.71816,Entire home/apt,40,3,102,01-09-2021,0.91,1,329,5,1098714
